Restaurant_Info_ID,Restaurant_Name,Rating,Review_Count,Price,Restaurant_Address,Restaurant_City,Zip_Code,Latitude,Longitude,Categories,Inspection_Info_ID,Inspection_date,Score,Grade,Population_Density_per_sq_mi,Median_Household_Income,Median_Home_Value,Employment_Rate,Total_Population,Total_Employer_Establishments
9078,Truly Acai,4.0,13,$$,3704 W 3rd St,Los Angeles,90020,34.06887047062286,-118.2970367,"Acai Bowls, Juice Bars & Smoothies, Brazilian",5700,2025-02-05,95.0,A,34800.0,51013,511800.0,92.54,38124,922
9081,Seco,4.5,48,$$,3820 Sunset Blvd,Los Angeles,90026,34.091217,-118.279476,"Wine Bars, Mediterranean",1056,2024-09-20,96.0,A,15715.0,70436,551500.0,91.92,65921,1479
9089,Rasarumah,4.4,39,$$,3107 Beverly Blvd,Los Angeles,90026,34.07211,-118.282409,Malaysian,5106,2024-12-12,96.0,A,15715.0,70436,551500.0,91.92,65921,1479
9091,Calif Chicken Cafe,4.3,84,$$,4850 Hollywood Blvd,Los Angeles,90027,34.101258,-118.295691,"Salad, Wraps, American",4195,2024-12-31,98.0,B,5473.0,78356,793200.0,92.05,44678,1744
9092,Don Felix Restaurant,3.3,625,$$,305 N Virgil Ave,Los Angeles,90004,34.07665405711871,-118.28717836760272,Peruvian,875,2025-01-23,94.0,A,19203.0,54947,776300.0,92.61,59621,1252
9093,Yai's On Vermont,3.6,392,$$,1627 N Vermont Ave,Los Angeles,90027,34.1008569474244,-118.292515372491,Thai,7058,2024-12-09,96.0,A,5473.0,78356,793200.0,92.05,44678,1744
9144,Kismet Rotisserie,3.8,229,$$,4666 Hollywood Blvd,Los Angeles,90027,34.10047,-118.29124,"Mediterranean, Salad, Chicken Shop",2173,2024-08-05,97.0,A,5473.0,78356,793200.0,92.05,44678,1744
9156,BBQ+RICE - Silverlake,4.2,47,$$,3827 Sunset Blvd,Los Angeles,90026,34.091739140933484,-118.2793143,"Korean, Barbeque",6300,2024-10-22,96.0,A,15715.0,70436,551500.0,91.92,65921,1479
9157,The Ruby Fruit,4.0,78,$$,3510 Sunset Blvd,Los Angeles,90026,34.088854,-118.276958,"Gay Bars, Wine Bars, Breakfast & Brunch",6634,2024-12-16,94.0,A,15715.0,70436,551500.0,91.92,65921,1479
9157,The Ruby Fruit,4.0,78,$$,3510 Sunset Blvd,Los Angeles,90026,34.088854,-118.276958,"Gay Bars, Wine Bars, Breakfast & Brunch",6645,2024-12-16,94.0,A,15715.0,70436,551500.0,91.92,65921,1479
9158,Vim Thai-Chinese Restaurant,3.6,256,$$,5132 Hollywood Blvd,Los Angeles,90027,34.101642,-118.301684,"Thai, Chinese",73,2024-10-07,95.0,A,5473.0,78356,793200.0,92.05,44678,1744
9160,Mason's Dumpling Shop,4.3,714,$$,5803 N Figueroa St,Los Angeles,90042,34.1105271147377,-118.19188517012,Dim Sum,1476,2024-10-21,95.0,A,12899.0,81853,382100.0,91.87,59658,844
9164,Highland Park Bowl,3.9,832,$$,5621 N Figueroa St,Los Angeles,90042,34.10940092215764,-118.1935786022258,"Bowling, Pizza, Cocktail Bars",7544,2025-03-20,84.0,B,12899.0,81853,382100.0,91.87,59658,844
9164,Highland Park Bowl,3.9,832,$$,5621 N Figueroa St,Los Angeles,90042,34.10940092215764,-118.1935786022258,"Bowling, Pizza, Cocktail Bars",7578,2025-03-20,84.0,B,12899.0,81853,382100.0,91.87,59658,844
9166,Nativo,4.1,408,$$,5137 York Blvd,Los Angeles,90042,34.12103740239344,-118.2033914,"Bars, Mexican, Latin American",5833,2024-11-16,93.0,A,12899.0,81853,382100.0,91.87,59658,844
9167,Goldburger,4.3,465,$$,5623 York Blvd,Los Angeles,90042,34.1194678,-118.1958786,Burgers,3303,2025-03-10,96.0,A,12899.0,81853,382100.0,91.87,59658,844
9169,Colorado Donuts,4.4,1201,$$,1578 Colorado Blvd,Los Angeles,90041,34.13933944540266,-118.2008584490392,"Donuts, Bakeries, Sandwiches",4193,2024-08-08,95.0,A,7416.0,95811,535500.0,94.02,28956,826
